"filename", "language", "C++", "comment", "blank", "total"
"d:\programming\SMTCLyrics\cpp\src\app\Application.cpp", "C++", 94, 12, 12, 118
"d:\programming\SMTCLyrics\cpp\src\app\Application.h", "C++", 15, 1, 3, 19
"d:\programming\SMTCLyrics\cpp\src\cache\Cache.cpp", "C++", 23, 0, 3, 26
"d:\programming\SMTCLyrics\cpp\src\cache\Cache.h", "C++", 2, 0, 1, 3
"d:\programming\SMTCLyrics\cpp\src\config\Config.cpp", "C++", 13, 0, 2, 15
"d:\programming\SMTCLyrics\cpp\src\config\Config.h", "C++", 2, 0, 0, 2
"d:\programming\SMTCLyrics\cpp\src\lyrics\LyricRepository.cpp", "C++", -1, 0, 0, -1
"d:\programming\SMTCLyrics\cpp\src\main.cpp", "C++", 3, 1, 2, 6
"d:\programming\SMTCLyrics\cpp\src\resource.h", "C++", 2, 0, 2, 4
"d:\programming\SMTCLyrics\cpp\src\smtc\SmtcProvider.cpp", "C++", 1, 0, 0, 1
"d:\programming\SMTCLyrics\cpp\src\smtc\SmtcProvider.h", "C++", 1, 0, 0, 1
"d:\programming\SMTCLyrics\cpp\src\ui\ControlWindow.cpp", "C++", 46, 6, 4, 56
"d:\programming\SMTCLyrics\cpp\src\ui\ControlWindow.h", "C++", 3, 0, 0, 3
"d:\programming\SMTCLyrics\cpp\src\ui\DesktopLyricsWindow.cpp", "C++", 4, 2, 1, 7
"Total", "-", 208, 22, 30, 260
